JYUNI,"PLAYER NAME",SCORE,,,,,TOTAL,RATE,RANK,RANK+,NEXT,LEFT,RIGHT,FLIP,Platform
69,ノリダー,1683,,,,,1683,81.30%,AA,+73,9,MIRROR,,,AC
70,彩華,1680,,,,,1680,81.16%,AA,+70,3,,,,AC
71,YAMAN.,1674,,,,,1674,80.87%,AA,+64,6,,,,AC
72,ryo,1671,,,,,1671,80.72%,AA,+61,3,,,,INF
73,いなかずくん,1661,,,,,1661,80.24%,AA,+51,10,,MIRROR,,AC
74,CHIHUA,1656,,,,,1656,80.00%,AA,+46,5,,,,INF
75,鼻毛スペシャル,1649,,,,,1649,79.66%,AA,+39,7,,,,INF
76,TOTTIE,1626,,,,,1626,78.55%,AA,+16,23,,,,AC
77,husqy,1625,,,,,1625,78.50%,AA,+15,1,MIRROR,MIRROR,,INF
78,SHA9N5,1613,,,,,1613,77.92%,AA,+3,12,,,,AC
78,くろ,1613,,,,,1613,77.92%,AA,+3,0,,,,AC
80,MOYA,1607,,,,,1607,77.63%,A,+227,6,,,,AC
81,WOOJIN,1583,,,,,1583,76.47%,A,+203,24,,,,AC
82,むらさき,1556,,,,,1556,75.17%,A,+176,27,,,,AC
83,冷たい夜,1429,,,,,1429,69.03%,A,+49,127,,,,AC
84,ちょりぞー,1410,,,,,1410,68.12%,A,+30,19,,,,AC
999,AVERAGE,1792.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1792.619048,86.60%,AA,+1793,,,,,
