JYUNI,"PLAYER NAME",SCORE,,,,,TOTAL,RATE,RANK,RANK+,NEXT,LEFT,RIGHT,FLIP,Platform
1,MILK,2021,,,,,2021,97.63%,AAA,-49,0,S-RANDOM,S-RANDOM,,AC
2,LESTY,2007,,,,,2007,96.96%,AAA,-63,14,,MIRROR,,AC
3,B,1986,,,,,1986,95.94%,AAA,-84,21,,RANDOM,FLIP,INF
4,すいか,1979,,,,,1979,95.60%,AAA,-91,7,,MIRROR,,AC
4,榊樹,1979,,,,,1979,95.60%,AAA,-91,0,RANDOM,RANDOM,FLIP,INF
6,MONA,1970,,,,,1970,95.17%,AAA,-100,9,S-RANDOM,S-RANDOM,FLIP,AC
7,るしし,1942,,,,,1942,93.82%,AAA,+102,28,S-RANDOM,,,AC
8,磯野家,1935,,,,,1935,93.48%,AAA,+95,7,RANDOM,RANDOM,,INF
9,真,1933,,,,,1933,93.38%,AAA,+93,2,RANDOM,RANDOM,,INF
10,46NEKO,1931,,,,,1931,93.29%,AAA,+91,2,,RANDOM,FLIP,INF
11,tachinin,1926,,,,,1926,93.04%,AAA,+86,5,,S-RANDOM,,AC
12,つてん,1923,,,,,1923,92.90%,AAA,+83,3,,MIRROR,,AC
13,しろてぃー,1913,,,,,1913,92.42%,AAA,+73,10,S-RANDOM,S-RANDOM,,AC
14,TOBA,1908,,,,,1908,92.17%,AAA,+68,5,RANDOM,RANDOM,,AC
15,コーギー,1901,,,,,1901,91.84%,AAA,+61,7,S-RANDOM,S-RANDOM,,INF
16,みおー,1900,,,,,1900,91.79%,AAA,+60,1,S-RANDOM,S-RANDOM,FLIP,AC
17,ふずにゃん,1899,,,,,1899,91.74%,AAA,+59,1,,,,AC
18,かねく,1898,,,,,1898,91.69%,AAA,+58,1,RANDOM,RANDOM,,INF
18,MIST,1898,,,,,1898,91.69%,AAA,+58,0,,,,AC
20,ゆんゆんぼ,1897,,,,,1897,91.64%,AAA,+57,1,S-RANDOM,S-RANDOM,FLIP,AC
21,明大前ヴェノム,1885,,,,,1885,91.06%,AAA,+45,12,S-RANDOM,S-RANDOM,FLIP,AC
22,うしお,1883,,,,,1883,90.97%,AAA,+43,2,MIRROR,MIRROR,FLIP,INF
23,でんじ,1881,,,,,1881,90.87%,AAA,+41,2,,MIRROR,,AC
24,むつきゅ,1879,,,,,1879,90.77%,AAA,+39,2,,,,INF
25,F-003,1871,,,,,1871,90.39%,AAA,+31,8,RANDOM,RANDOM,,AC
25,BAY.,1871,,,,,1871,90.39%,AAA,+31,0,S-RANDOM,S-RANDOM,FLIP,AC
27,翔,1869,,,,,1869,90.29%,AAA,+29,2,S-RANDOM,S-RANDOM,FLIP,AC
28,しぐはら,1868,,,,,1868,90.24%,AAA,+28,1,MIRROR,,FLIP,AC
29,しろ,1867,,,,,1867,90.19%,AAA,+27,1,S-RANDOM,S-RANDOM,FLIP,INF
30,鍵,1866,,,,,1866,90.14%,AAA,+26,1,RANDOM,RANDOM,FLIP,AC
31,塩ぱん,1863,,,,,1863,90.00%,AAA,+23,3,MIRROR,,,AC
31,サイバイマソ,1863,,,,,1863,90.00%,AAA,+23,0,S-RANDOM,S-RANDOM,FLIP,AC
33,荒,1848,,,,,1848,89.28%,AAA,+8,15,R-RANDOM,R-RANDOM,,INF
34,ジョン,1843,,,,,1843,89.03%,AAA,+3,5,MIRROR,RANDOM,FLIP,AC
35,ふぃれ,1842,,,,,1842,88.99%,AAA,+2,1,,,,AC
36,にゃむ,1840,,,,,1840,88.89%,AAA,+0,2,S-RANDOM,S-RANDOM,FLIP,AC
37,夕立,1839,,,,,1839,88.84%,AA,+229,1,,,,AC
38,YouS,1832,,,,,1832,88.50%,AA,+222,7,S-RANDOM,S-RANDOM,FLIP,AC
39,メロリーヌ,1827,,,,,1827,88.26%,AA,+217,5,S-RANDOM,S-RANDOM,,AC
40,茜ちゃんは可愛いですか？,1815,,,,,1815,87.68%,AA,+205,12,MIRROR,,,AC
41,もつ,1814,,,,,1814,87.63%,AA,+204,1,RANDOM,RANDOM,,INF
42,金糸雀,1807,,,,,1807,87.29%,AA,+197,7,R-RANDOM,R-RANDOM,,AC
42,かんじ,1807,,,,,1807,87.29%,AA,+197,0,,,,AC
44,VOLGA,1804,,,,,1804,87.15%,AA,+194,3,,,,AC
45,JUDGE.,1780,,,,,1780,85.99%,AA,+170,24,S-RANDOM,S-RANDOM,FLIP,AC
46,ヒロヤマ,1776,,,,,1776,85.80%,AA,+166,4,MIRROR,MIRROR,,INF
47,96NEKO,1775,,,,,1775,85.75%,AA,+165,1,,,,AC
48,ヴァーユ,1774,,,,,1774,85.70%,AA,+164,1,,MIRROR,FLIP,AC
49,Cube,1773,,,,,1773,85.65%,AA,+163,1,,,,AC
50,かばね,1770,,,,,1770,85.51%,AA,+160,3,,MIRROR,,AC
51,みとば,1768,,,,,1768,85.41%,AA,+158,2,S-RANDOM,S-RANDOM,FLIP,AC
52,さくら,1767,,,,,1767,85.36%,AA,+157,1,RANDOM,RANDOM,,AC
53,いにょ太郎,1750,,,,,1750,84.54%,AA,+140,17,MIRROR,MIRROR,,INF
54,ねこ,1747,,,,,1747,84.40%,AA,+137,3,,MIRROR,,AC
55,COLONE,1744,,,,,1744,84.25%,AA,+134,3,MIRROR,RANDOM,,AC
56,どどすこい,1743,,,,,1743,84.20%,AA,+133,1,,,,INF
57,きつね,1735,,,,,1735,83.82%,AA,+125,8,,,,AC
58,ゆずポン酢,1734,,,,,1734,83.77%,AA,+124,1,MIRROR,,,AC
59,えむ,1726,,,,,1726,83.38%,AA,+116,8,,,,AC
60,γυηυ,1720,,,,,1720,83.09%,AA,+110,6,,,,AC
61,とまて～,1713,,,,,1713,82.75%,AA,+103,7,,,,AC
61,エナタル,1713,,,,,1713,82.75%,AA,+103,0,,,,AC
63,GO,1711,,,,,1711,82.66%,AA,+101,2,,,,AC
64,つがさん,1708,,,,,1708,82.51%,AA,+98,3,,,,INF
65,少年☆,1703,,,,,1703,82.27%,AA,+93,5,,,,AC
66,べた,1700,,,,,1700,82.13%,AA,+90,3,RANDOM,,FLIP,AC
67,奪還,1692,,,,,1692,81.74%,AA,+82,8,,,FLIP,INF
67,CLONE,1692,,,,,1692,81.74%,AA,+82,0,,,,AC
