JYUNI,"PLAYER NAME",SCORE,,,,,TOTAL,RATE,RANK,RANK+,NEXT,LEFT,RIGHT,FLIP,Platform
55,GO,2026,,,,,2026,89.49%,AAA,+13,10,R-RANDOM,S-RANDOM,FLIP,AC
56,かんじ,2023,,,,,2023,89.36%,AAA,+10,3,S-RANDOM,S-RANDOM,,AC
56,きつね,2023,,,,,2023,89.36%,AAA,+10,0,R-RANDOM,R-RANDOM,FLIP,AC
58,エナタル,2022,,,,,2022,89.31%,AAA,+9,1,MIRROR,,,AC
59,ヒロヤマ,2016,,,,,2016,89.05%,AAA,+3,6,,,FLIP,INF
60,96NEKO,2005,,,,,2005,88.56%,AA,+244,11,,MIRROR,,AC
61,CLONE,2002,,,,,2002,88.43%,AA,+241,3,S-RANDOM,S-RANDOM,FLIP,AC
62,鼻毛スペシャル,2001,,,,,2001,88.38%,AA,+240,1,,,,INF
63,奪還,1997,,,,,1997,88.21%,AA,+236,4,S-RANDOM,S-RANDOM,FLIP,INF
64,いなかずくん,1992,,,,,1992,87.99%,AA,+231,5,,,FLIP,AC
65,いにょ太郎,1982,,,,,1982,87.54%,AA,+221,10,MIRROR,,,INF
66,つがさん,1961,,,,,1961,86.62%,AA,+200,21,R-RANDOM,MIRROR,,INF
67,ryo,1943,,,,,1943,85.82%,AA,+182,18,,,FLIP,INF
68,むらさき,1927,,,,,1927,85.11%,AA,+166,16,S-RANDOM,S-RANDOM,FLIP,AC
69,husqy,1917,,,,,1917,84.67%,AA,+156,10,,,,INF
70,γυηυ,1916,,,,,1916,84.63%,AA,+155,1,,,,AC
71,彩華,1915,,,,,1915,84.58%,AA,+154,1,,,,AC
72,ノリダー,1909,,,,,1909,84.32%,AA,+148,0,,MIRROR,,AC
73,CHIHUA,1896,,,,,1896,83.75%,AA,+135,13,MIRROR,,,INF
74,べた,1887,,,,,1887,83.35%,AA,+126,9,R-RANDOM,,FLIP,AC
75,WOOJIN,1876,,,,,1876,82.86%,AA,+115,11,,,,AC
76,えむ,1867,,,,,1867,82.46%,AA,+106,9,,,,AC
77,くろ,1865,,,,,1865,82.38%,AA,+104,2,,,,AC
78,YAMAN.,1857,,,,,1857,82.02%,AA,+96,8,,,FLIP,AC
79,少年☆,1841,,,,,1841,81.32%,AA,+80,16,,,,AC
80,SHA9N5,1840,,,,,1840,81.27%,AA,+79,1,,,,AC
80,TOTTIE,1840,,,,,1840,81.27%,AA,+79,0,,,,AC
82,冷たい夜,1627,,,,,1627,71.86%,A,+117,213,,,,AC
83,ちょりぞー,1539,,,,,1539,67.98%,A,+29,88,,,,AC
