JYUNI,"PLAYER NAME",SCORE,,,,,TOTAL,RATE,RANK,RANK+,NEXT,LEFT,RIGHT,FLIP,Platform
1,LESTY,2258,,,,,2258,99.73%,AAA,-6,0,,,FLIP,AC
2,つよいやつ,2253,,,,,2253,99.51%,AAA,-11,5,S-RANDOM,S-RANDOM,,AC
3,B,2247,,,,,2247,99.25%,AAA,-17,6,R-RANDOM,R-RANDOM,FLIP,INF
4,MONA,2243,,,,,2243,99.07%,AAA,-21,4,S-RANDOM,S-RANDOM,FLIP,AC
5,るしし,2241,,,,,2241,98.98%,AAA,-23,2,R-RANDOM,R-RANDOM,FLIP,AC
6,榊樹,2240,,,,,2240,98.94%,AAA,-24,1,R-RANDOM,,FLIP,INF
7,磯野家,2239,,,,,2239,98.90%,AAA,-25,1,,,,INF
8,すいか,2222,,,,,2222,98.14%,AAA,-42,17,S-RANDOM,RANDOM,FLIP,AC
9,真,2217,,,,,2217,97.92%,AAA,-47,5,RANDOM,RANDOM,,INF
9,tachinin,2217,,,,,2217,97.92%,AAA,-47,0,,S-RANDOM,,AC
11,46NEKO,2212,,,,,2212,97.70%,AAA,-52,5,RANDOM,RANDOM,,INF
12,うしお,2209,,,,,2209,97.57%,AAA,-55,3,R-RANDOM,R-RANDOM,FLIP,INF
13,コーギー,2204,,,,,2204,97.35%,AAA,-60,5,S-RANDOM,S-RANDOM,,INF
14,しろてぃー,2198,,,,,2198,97.08%,AAA,-66,6,S-RANDOM,S-RANDOM,,AC
15,MIST,2194,,,,,2194,96.91%,AAA,-70,4,,,FLIP,AC
16,ふぃれ,2193,,,,,2193,96.86%,AAA,-71,1,RANDOM,,,AC
17,TOBA,2192,,,,,2192,96.82%,AAA,-72,1,R-RANDOM,R-RANDOM,FLIP,AC
18,つてん,2191,,,,,2191,96.78%,AAA,-73,1,MIRROR,,FLIP,AC
18,むつきゅ,2191,,,,,2191,96.78%,AAA,-73,0,,,,INF
20,明大前ヴェノム,2189,,,,,2189,96.69%,AAA,-75,2,MIRROR,,FLIP,AC
21,翔,2186,,,,,2186,96.55%,AAA,-78,3,S-RANDOM,S-RANDOM,FLIP,AC
22,でんじ,2185,,,,,2185,96.51%,AAA,-79,1,MIRROR,MIRROR,,INF
23,F-003,2183,,,,,2183,96.42%,AAA,-81,2,S-RANDOM,S-RANDOM,,AC
24,ふずにゃん,2181,,,,,2181,96.33%,AAA,-83,2,,,,AC
24,しろ,2181,,,,,2181,96.33%,AAA,-83,0,R-RANDOM,S-RANDOM,FLIP,INF
26,BAY.,2177,,,,,2177,96.16%,AAA,-87,4,S-RANDOM,S-RANDOM,FLIP,AC
27,かねく,2172,,,,,2172,95.94%,AAA,-92,5,RANDOM,RANDOM,,INF
28,JUDGE.,2170,,,,,2170,95.85%,AAA,-94,2,S-RANDOM,S-RANDOM,FLIP,AC
29,鍵,2163,,,,,2163,95.54%,AAA,-101,7,,,,AC
29,みおー,2163,,,,,2163,95.54r%,AAA,-101,0,S-RANDOM,S-RANDOM,FLIP,AC
31,金糸雀,2161,,,,,2161,95.45%,AAA,-103,2,R-RANDOM,R-RANDOM,,AC
32,にゃむ,2152,,,,,2152,95.05%,AAA,-112,9,S-RANDOM,S-RANDOM,FLIP,AC
33,塩ぱん,2151,,,,,2151,95.01%,AAA,-113,1,MIRROR,,,AC
34,しぐはら,2143,,,,,2143,94.66%,AAA,-121,8,,,FLIP,AC
35,ゆんゆんぼ,2141,,,,,2141,94.57%,AAA,-123,2,S-RANDOM,S-RANDOM,FLIP,AC
35,VOLGA,2141,,,,,2141,94.57%,AAA,-123,0,,,,AC
37,もつ,2139,,,,,2139,94.48%,AAA,-125,2,,,,INF
38,ジョン,2138,,,,,2138,94.43%,AAA,+125,1,R-RANDOM,,FLIP,AC
39,さくら,2124,,,,,2124,93.82%,AAA,+111,14,MIRROR,,FLIP,AC
40,荒,2118,,,,,2118,93.55%,AAA,+105,6,,,,INF
41,夕立,2115,,,,,2115,93.42%,AAA,+102,3,,MIRROR,,AC
42,茜ちゃんは可愛いですか？,2111,,,,,2111,93.24%,AAA,+98,4,,,FLIP,AC
43,サイバイマソ,2108,,,,,2108,93.11%,AAA,+95,3,S-RANDOM,S-RANDOM,FLIP,AC
44,メロリーヌ,2107,,,,,2107,93.07%,AAA,+94,1,S-RANDOM,S-RANDOM,FLIP,AC
45,YouS,2099,,,,,2099,92.71%,AAA,+86,8,S-RANDOM,S-RANDOM,FLIP,AC
46,ゆずポン酢,2086,,,,,2086,92.14%,AAA,+73,13,,,FLIP,AC
47,かばね,2079,,,,,2079,91.83%,AAA,+66,7,,,,INF
48,Cube,2076,,,,,2076,91.70%,AAA,+63,3,,,,AC
49,みとば,2067,,,,,2067,91.30%,AAA,+54,9,S-RANDOM,S-RANDOM,FLIP,INF
50,どどすこい,2063,,,,,2063,91.12%,AAA,+50,4,,,FLIP,INF
51,ヴァーユ,2060,,,,,2060,90.99%,AAA,+47,3,S-RANDOM,S-RANDOM,,AC
52,COLONE,2057,,,,,2057,90.86%,AAA,+44,3,,,FLIP,AC
53,とまて～,2045,,,,,2045,90.33%,AAA,+32,12,,,,AC
54,ねこ,2036,,,,,2036,89.93%,AAA,+23,9,R-RANDOM,R-RANDOM,FLIP,AC
